ID,网站类型,网站名称,网址,网站说明,联系邮箱 
1,Web2.0 社交,Facebook,https://www.facebook.com,全球最大的社交网络平台，用户生成内容与社交互动,support@facebook.com 
2,Web2.0 社交,Twitter (X),https://twitter.com,全球社交媒体平台，以短文本互动为主,support@twitter.com 
3,Web2.0 视频服务,YouTube,https://www.youtube.com,最大视频分享平台，UGC/视听服务,support@youtube.com 
4,Web2.0 搜索,Google,https://www.google.com,全球最大搜索引擎,support@google.com 
5,Web2.0 电商,Amazon,https://www.amazon.com,全球领先电商平台,primary@amazon.com 
6,Web3.0 Ai,智汇天宸,https://www.zhihuitc.com.cn,打造 T 型人才 · 赋能超级个体,zhihuitc@outlook.com 
7,Web3.0 Ai,智汇天宸,https://zhihuitc.ai/,打造 T 型人才 · 赋能超级个体,zhihuitc@outlook.com 
8,Web3.0 NFT 市场,OpenSea,https://opensea.io,最大 NFT 市场，链上资产交易与收藏,support@opensea.io 
9,Web3.0 虚拟世界,Decentraland,https://decentraland.org,去中心化3D虚拟世界，用户可拥有、交易虚拟土地和资产,contact@decentraland.org 
10,Web3.0 社交,Steemit,https://steemit.com,链上博客/社交平台，用户发布内容可赚取加密奖励,support@steemit.com 
11,去中心化社交,Mastodon,https://mastodon.social,去中心化微博服务，可加入多个分布式实例,contact@mastodon.org 
12,Web2.0 社交隐私,MeWe,https://mewe.com,注重隐私的中心化社交平台（正向探索区块链项目）,support@mewe.com 
13,Web3.0 社交,Lens Protocol 应用,https://lenster.xyz,基于 Lens 协议的去中心化社交平台,support@lens.xyz 
14,Web3.0 音乐流媒体,Audius,https://audius.co,去中心化音乐分享平台，音乐人可直接发布与赚取收入,support@audius.co 
15,Web3.0 元宇宙,Sandbox,https://www.sandbox.game,区块链驱动的虚拟世界与创作经济平台,support@sandbox.game 
16,Web3.0,OAO,oao.eth,让存在成为价值,wh-9007@live.cn 
17,Web3.0,oaoai,oaoai.eth,简单而纯粹，彰显去中心化的力量与理念,wh-9007@live.cn 
18,Web3.0,ELELE,elele.eth,不被定義，但可被驗證,wh-9007@live.cn 
19,DeFi 智能合约 & 交易,Uniswap,https://uniswap.org,去中心化交易协议，可在链上交易 ERC‑20 代币，是 Web3 生态核心 DEX 之一。,support@uniswap.org 
20,市场数据,CoinMarketCap,https://coinmarketcap.com,提供全球加密资产价格、交易量和市值排行等数据。,support@coinmarketcap.com 
21,市场数据,DefiLlama,https://defillama.com,提供 DeFi 项目 TVL（总锁仓价值）排行和跨链 DeFi 数据。,contact@defillama.com 
22,区块链浏览器,Etherscan,https://etherscan.io,以太坊区块链浏览器，可查看链上交易/合约/地址等信息。,support@etherscan.io 
23,钱包,MetaMask,https://metamask.io,流行的 Web3 钱包，支持以太坊及多链生态资产管理。,support@metamask.io 
24,数据与分析,DappRadar,https://dappradar.com,提供全球 DApp 统计、热门链上应用排行（NFT/DeFi/GameFi）。,support@dappradar.com 
25,区块链资讯,CoinDesk,https://www.coindesk.com,专注加密货币与区块链新闻、市场分析、深度报道。,news@coindesk.com 
26,区块链资讯,Cointelegraph,https://cointelegraph.com,全球加密新闻平台，覆盖市场动态和技术分析。,editors@cointelegraph.com 
27,NFT 数据,CryptoSlam,https://cryptoslam.io,NFT 排名网站，按照交易规模/时间展示热门 NFT 指标。,support@cryptoslam.io 
28,NFT 数据,NFTGo,https://nftgo.io,提供 NFT 市场分析与排行榜，包括价格/稀有度/交易量等。,contact@nftgo.io 
29,Web3 工具导航,Web3nav,https://www.w3nav.com,集合 DeFi、NFT、钱包、浏览器等 Web3 工具与入口资源。,info@w3nav.com 
30,交易所,Binance,https://www.binance.com,全球领先的加密货币交易所，支持多链和 DeFi 生态服务。,support@binance.com 
31,交易所,OKX,https://www.okx.com,综合加密交易所，集现货/期权/质押/钱包服务于一体。,support@okx.com 
32,教育 & 开发者资源,Awesome Web3,https://awesome-web3.com,Web3 资源集合，涵盖工具、库、教程、协议等开发资料。,无集中邮箱（社区开放收录） 
33,NFT 市场,Magic Eden,https://magiceden.io,主要 Solana 网络的 NFT 交易平台，用户人数众多。,support@magiceden.io 
34,Web3 创始人,Vitalik Buterin,https://vitalik.eth,以太坊共同创始人官方个人网站，发表技术文章及观点,通过网站联系表单或 Twitter 
35,Web3 先驱,Gavin Wood,https://gavwood.com,波卡（Polkadot）与 Substrate 创始人个人主页,通过个人站内链接 
36,Web3 企业家,Stani Kulechov,https://stani.substack.com,Aave 创始人官方文章与通讯页,默认 Substack 页面 
37,NFT 领袖,Devin Finzer,https://devinfinzer.com,OpenSea 联合创始人个人官网,官方站内部联络 
38,Web3 企业家,Anatoly Yakovenko,https://solana.com,Solana 协议创始人官方站点（团队）,support@solana.com 
39,去中心化存储,Protocol Labs,https://protocol.ai,IPFS / Filecoin 创始团队（Juan Benet 领导）,info@protocol.ai 
40,Web3 教育者,Chris Dixon,https://cdixon.org,Andreessen Horowitz 投资合伙人，Web3 思想输出者,通过站内信息 
41,Web3 研究者,Emin Gün Sirer,https://avn.com,Avalanche 创始人之一个人站点与学术信息,通过站内链接 
42,Web3 企业家,Sergey Nazarov,https://chain.link,Chainlink 联合创始人官方品牌主页,info@chain.link 
43,Web3 早期者,Balaji Srinivasan,https://balajis.com,前 Coinbase CTO / Web3 独立思想者,通过站内链接 
44,Web3.0 基础设施与扩展方案 (Layer 2),Optimism,optimism.io,基于乐观回滚技术的以太坊二层网络，注重低廉费用,AI提供 
45,Web3.0 基础设施与扩展方案 (Layer 2),Polygon,https://polygon.technology,以太坊多链扩展网络，提供多样化的侧链与扩容工具,AI提供 
46,去中心化金融 (DeFi) 与资产管理,Aave,https://aave.com,全球最大的开源去中心化借贷协议，支持多种资产质押,AI提供 
47,去中心化金融 (DeFi) 与资产管理,Zapper,https://zapper.fi,Web3 资产看板，一站式追踪 DeFi 收益、NFT 及链上钱包地址,AI提供 
48,元宇宙、链游与创作者平台,Axie Infinity,https://axieinfinity.com,全球知名的 Play-to-Earn 区块链游戏代表作,AI提供 
49,元宇宙、链游与创作者平台,LooksRare,https://looksrare.org,社区驱动的 NFT 市场，为交易者和创作者提供奖励,AI提供 
50,元宇宙、链游与创作者平台,Mirror,https://mirror.xyz,去中心化内容发布平台，支持将文章铸造为 NFT 永久保存,AI提供 
51,.eth 后缀与去中心化域名资源,Bankless,bankless.eth,著名的加密货币媒体，倡导“无银行”生活方式与金融教育,AI提供 
52,.eth 后缀与去中心化域名资源,1inch,1inch.eth,分散式交易所聚合器，自动寻找链上交易的最优价格,AI提供 
53,.eth 后缀与去中心化域名资源,Gitcoin,gitcoin.eth,Web3 公共物品资助平台，通过平方捐赠法支持开源项目,AI提供 
54,数据研究与安全,Dune Analytics,https://dune.com,强大的链上数据分析平台，用户可自定义可视化仪表盘,AI提供 
55,数据研究与安全,Revoke.cash,https://revoke.cash,关键的安全工具，用于检查并撤销已授权的代币访问权限,AI提供 
56,基础设施、Layer 2 与 侧链 (网络底座),Arbitrum,https://arbitrum.io,领先的以太坊 Layer 2 扩容方案，降低交易成本并提升速度,AI提供 
57,基础设施、Layer 2 与 侧链 (网络底座),Avalanche,avax.network,高性能公链，支持自定义子网，兼容 EVM,AI提供 
58,基础设施、Layer 2 与 侧链 (网络底座),Solana,https://solana.com,高吞吐量、低延迟的全球性公链，生态极其丰富,AI提供 
